X,Y,distance_from_Goolwa
350254.753,6033029.132,63150
350274.983,6032983.407,63200
350294.977,6032937.579,63250
350314.736,6032891.649,63300
350334.259,6032845.618,63350
350353.545,6032799.487,63400
350372.594,6032753.258,63450
350391.405,6032706.932,63500
350409.978,6032660.509,63550
350428.312,6032613.992,63600
350446.407,6032567.381,63650
350464.263,6032520.678,63700
350481.878,6032473.884,63750
350499.253,6032427,63800
350516.387,6032380.028,63850
350533.279,6032332.968,63900
350549.93,6032285.821,63950
350566.338,6032238.59,64000
350573.985,6032189.376,64050
350585.41,6032140.734,64100
350602.953,6032093.949,64150
350626.327,6032049.788,64200
350655.151,6032008.973,64250
350688.951,6031972.174,64300
350727.174,6031939.994,64350
350769.193,6031912.958,64400
350814.322,6031891.511,64450
350861.82,6031876.003,64500
350911.063,6031867.706,64550
350960.266,6031858.866,64600
351008.795,6031846.862,64650
351056.446,6031831.745,64700
351103.019,6031813.577,64750
351148.319,6031792.434,64800
351192.157,6031768.406,64850
351234.349,6031741.593,64900
351274.719,6031712.107,64950
